"Title_1,BenennungTeil_1,Programmnummer_1,Laufzeit_1,Kommentar_1,Sachnummer_1,ZI_1,AI_1"
"2,MD TRAGSTRUKTUR BFS LL,0010_0010,27,Tragstruktur Beifahrerseite       Komplettmessung,7911166,D,2"
"4,MD TRAGSTRUKTUR BFS LL,0012_0012,12,Tragstruktur Beifahrerseite      ,7911166,J,6"
"6,MD TRAGSTRUKTUR BFS LL,0015_0015,4,Montage MD Tragstruktur BFS mit MD Tragstruktur FS (ANALYSE),7911166,D,2"
"8,MD TRAGSTRUKTUR BFS LL,0016_0016,5,Montage MD Tragstruktur BFS, MD Tragstruktur FS, IT Unten Teil vom Musterbau, (ANALYSE),7911166,D,2"
"10,MD TRAGSTRUKTUR BFS LL,0020_0020,35,MD I-Tafel unten kompl. ,7911166,D,2"
"12,MD AIRBAG SCHUSSKANAL LL,0030_0030,8,Spritzteil,9870297,N,10"
"13,MD AIRBAG SCHUSSKANAL LL,0035,nan,S4-Merkmal: Schlaufenlaenge Airbagnetz  (mittels Messschieber),nan,nan,nan"
"15,MD WARMLUFTKANAL LL,0050_0050,nan,Spritzteil,9870295,J,7"
"17,MD I-TAFEL OBEN  LL A.F.,0065_0065,nan,Träger I-Tafel oben kaschiert,9870291,Q,12"
"19,MD I-TAFEL OBEN  LL A.F. ,0066_0066,8,Auslieferzustand,-------,-,-"
"21,MD I-TAFEL KPL LL A.F.,0068_0068,45,IT Oben und IT Unten zusammen auf der Messaufnahme,-------,-,-"
"22,MD I-TAFEL KPL LL A.F.,0068 Calibri,nan,Fuge HSK mit Calibri,-------,-,-"
"24,ZB TRAEGER I-TAFEL OBEN LL ,0070_0070,12,OP1 Schweissung (ZB Traeger IT oben mit Airbagschusskanal),-------,-,-"
"26,ZB TRAEGER I-TAFEL OBEN LL,0075_0075,4,OP2 Schweissung (MD IT Oben  mit Warmluftkanal),-------,-,-"
"28,ZB TRAEGER I-TAFEL OBEN LL,0080_0080,8,Spritzteil,9870904,N,12"
"30,ZB TRAEGER I-TAFEL UNTEN LL,0090_0090,8,Spritzteil ; Kontur,9870914,O,10"
"32,ZB I-TAFEL UNTEN LL A.F.,0091_0091,nan,Träger (Spritzteil) kaschiert,9870299,T,14"
"34,ZB I-TAFEL UNTEN LL A.F.,0092_0092,nan,MD Tragstruktur BFS mit I-Tafel Unten kaschiert verschweisst,-------,-,-"
"36,MD I-TAFEL UNTEN LL A.F.,0093_0093,18,Auslieferzustand,-------,-,-"
