Unnamed: 0,Unnamed: 1,Unnamed: 2,Übersicht G70_71,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Serienprogramm,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
"CNC / 
Analyse","Programmnr.-
Reichweite",Baugruppe,Benennung Teil (TAISS),"Formfeature
BM-x","Werkstück_
Programmnummer","Laufzeit 
in min",KMG,Kommentar,SACHNR.,ZI,AI
,,,,,,,,,,,
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD TRAGSTRUKTUR BFS LL,,0010_0010,27,,Tragstruktur Beifahrerseite       Komplettmessung,7911166,D,2
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD TRAGSTRUKTUR BFS LL,,0012_0012,12,,Tragstruktur Beifahrerseite      ,7911166,J,6
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD TRAGSTRUKTUR BFS LL,,0015_0015,4,,Montage MD Tragstruktur BFS mit MD Tragstruktur FS (ANALYSE),7911166,D,2
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD TRAGSTRUKTUR BFS LL,,0016_0016,5,,"Montage MD Tragstruktur BFS, MD Tragstruktur FS, IT Unten Teil vom Musterbau, (ANALYSE)",7911166,D,2
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD TRAGSTRUKTUR BFS LL,,0020_0020,35,,MD I-Tafel unten kompl. ,7911166,D,2
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD AIRBAG SCHUSSKANAL LL,"R699
BM-S",0030_0030,8,,Spritzteil,9870297,N,10
,,,,,0035,,,S4-Merkmal: Schlaufenlaenge Airbagnetz  (mittels Messschieber),,,
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD WARMLUFTKANAL LL,,0050_0050,,,Spritzteil,9870295,J,7
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD I-TAFEL OBEN  LL A.F.,,0065_0065,,,Träger I-Tafel oben kaschiert,9870291,Q,12
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD I-TAFEL OBEN  LL A.F. ,,0066_0066,8,,Auslieferzustand,-------,-,-
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD I-TAFEL KPL LL A.F.,,0068_0068,45,,IT Oben und IT Unten zusammen auf der Messaufnahme,-------,-,-
C,1-199,Instrumententafel,MD I-TAFEL KPL LL A.F.,,0068 Calibri,,,Fuge HSK mit Calibri,-------,-,-
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB TRAEGER I-TAFEL OBEN LL ,"R699
BM-S",0070_0070,12,,OP1 Schweissung (ZB Traeger IT oben mit Airbagschusskanal),-------,-,-
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB TRAEGER I-TAFEL OBEN LL,BM-S,0075_0075,4,,OP2 Schweissung (MD IT Oben  mit Warmluftkanal),-------,-,-
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB TRAEGER I-TAFEL OBEN LL,,0080_0080,8,,Spritzteil,9870904,N,12
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB TRAEGER I-TAFEL UNTEN LL,,0090_0090,8,,Spritzteil ; Kontur,9870914,O,10
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB I-TAFEL UNTEN LL A.F.,,0091_0091,,,Träger (Spritzteil) kaschiert,9870299,T,14
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB I-TAFEL UNTEN LL A.F.,,0092_0092,,,MD Tragstruktur BFS mit I-Tafel Unten kaschiert verschweisst,-------,-,-
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,MD I-TAFEL UNTEN LL A.F.,BM-S,0093_0093,18,,Auslieferzustand,-------,-,-
C,1-199,Instrumententafel,MD I-TAFEL UNTEN LL A.F.,,0093 Calibri,,,Fuge HSK mit Calibri,,,
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB TRAEGER I-TAFEL UNTEN FLHZG LL,,0095_0095,8,,Spritzteil; Kontur,9624605,O,10
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB I-TAFEL UNTEN FLHZG LL A.F.,,0096_0096,,,Träger (Spritzteil) kaschiert,9624197,T,16
C,1-199,Instrumententafel,,,,,,,,,
C,1-199,Instrumententafel,ZB TRAEGER I-TAFEL UNTEN LL,,0099_0099,33,,Analyse Positionen der Schweissdome,9621605,F,1
,,,,,,,,,,,
C,200-299,Handschuhkasten,EINLEGER DECKEL HSK LL,,0100_0100,,,Spritzteil Einleger Deckel HSK,5A34240,L,5
C,200-299,Handschuhkasten,,,,,,,,,
C,200-299,Handschuhkasten,EINLEGER DECKEL HSK FLHZG LL,,0105_0105,,,Spritzteil Einleger Deckel HSK mit Flächenheizung ,5A34244,F,5
C,200-299,Handschuhkasten,,,,,,,,,
C,200-299,Handschuhkasten,ZB DECKEL KASCHIERT LL A.F.,,0110_0110,2,,Deckel HSK Aussen kaschiert,9870940,N,9
C,200-299,Handschuhkasten,,,,,,,,,
C,200-299,Handschuhkasten,ZB DECKEL KASCHIERT FLHZG LL A.F.,,0115_0115,,,Deckel HSL Aussen Flächenheizung kaschiert,5A0E575,R,11
C,200-299,Handschuhkasten,,,,,,,,,
C,200-299,Handschuhkasten,DECKEL HSK INNEN LL,,0120_0120,,,Deckel HSK Innen Spritzteil,9870943,M,9
C,200-299,Handschuhkasten,,,,,,,,,
C,200-299,Handschuhkasten,MD DECKEL HSK BEFLOCKT LL A.F.,,0130_0130,2,,"Deckel HSK Innen und Aussen kaschiert, verschweisst",9870496,S,13
C,200-299,Handschuhkasten,,,,,,,,,
C,200-299,Handschuhkasten,MD DECKEL HSK BEFLOCKT FLHZG LL A.F.,,0135_0135,2,,"Deckel HSK Innen und Aussen kaschiert Flächenheizung, verschweisst",5A0BD23,S,15
C,200-299,Handschuhkasten,,,,,,,,,
,,LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,ZB TRAEGER I-TAFEL OBEN LL LCI,,0300_0300,,,Spritzteil,9643827,F,2
C,300-399,Instrumententafel LCI,,,,,,,,,
C,300-399,Instrumententafel LCI,MD AIRBAGSCHUSSKANAL LL LCI,"R699
BM-S",0305_0305,,,Spitzteil,9639973,F,4
