"Title_1,BenennungTeil_1,Programmnummer_1,Laufzeit_1,Kommentar_1,Sachnummer_1,ZI_1,AI_1"
"2,MD TRAGSTRUKTUR BFS RL,0010_0010,27,Tragstruktur Beifahrerseite       Komplettmessung,7911166,D,2"
"4,MD TRAGSTRUKTUR BFS RL,0012_0012,12,Tragstruktur Beifahrerseite      Komplettmessung  (SERIENSTAND),7911167,I,6"
"6,MD TRAGSTRUKTUR BFS RL,0015_0015,4,Montage MD Tragstruktur BFS mit MD Tragstruktur FS (ANALYSE),7911166,D,2"
"8,MD TRAGSTRUKTUR BFS RL,0016_0016,5,Montage MD Tragstruktur BFS, MD Tragstruktur FS, IT Unten Teil vom Musterbau, (ANALYSE),7911166,D,2"
"10,MD TRAGSTRUKTUR BFS RL,0020_0020,35,MD I-Tafel unten kompl. (Auslieferzustand),7911166,D,2"
"12,MD AIRBAG SCHUSSKANAL RL,0030_0030,8,Spritzteil,9870298,N,8"
"13,MD AIRBAG SCHUSSKANAL RL,0035,nan,S4-Merkmal: Schlaufenlaenge Airbagnetz  (mittels Messschieber),nan,nan,nan"
"15,MD WARMLUFTKANAL RL,0050_0050,6,Spritzteil,9870296,J,7"
"17,MD I-TAFEL OBEN RL A.F.,0065_0065,nan,ZB Traeger I-Tafel Oben kaschiert,9870292,P,10"
"19,MD I-TAFEL OBEN RL A.F.,0066_0065,nan,Auslieferzustand,-------,-,-"
"21,MD I-TAFEL KPL. RL A.F.,0068_0068,nan,IT Oben und IT Unten zusammen auf der Messaufnahme,-------,-,-"
"22,MD I-TAFEL KPL. RL A.F.,0068 Calibri,nan,Fuge HSK mit Calibri,-------,-,-"
"24,ZB TRAEGER I-TAFEL OBEN RL,0070_0070,12,OP1 Schweissung (ZB Traeger I-Tafel Oben mit Airbagschusslanal),MT40099,C,nan"
"26,ZB TRAEGER I-TAFEL OBEN RL ,0075_0075,nan,OP2 Schweissung (MD ITOben mit Warmluftkanal) ,nan,nan,nan"
"28,ZB TRAEGER I-TAFEL OBEN RL,0080_0080,8,Spritzteil,9870905,M,10"
"30,ZB TRAEGER I-TAFEL UNTEN RL,0090_0090,nan,Spritzteil,9870915,M,10"
"32,ZB I-TAFEL UNTEN RL A.F.,0091_0091,nan,Spritzteil kaschiert,9870300,O,12"
"34,ZB I-TAFEL UNTEN RL A.F.,0092_0092,6,MD Tragstruktur BFS mit I-Tafel Unten kaschiert verschweisst,MT40131,-,-"
"36,MD I-TAFEL UNTEN RL A.F.,0093_0093,nan,Auslieferzustand,-------,-,-"
"37,MD I-TAFEL UNTEN RL A.F.,0093 Calibri,nan,Fuge HSK mit Calibri,-------,-,-"
"39,ZB TRAEGER I-TAFEL UNTEN RL,0099_0099,nan,Analyse Positionen der Schweissdome,9621605,F,1"
"40,EINLEGER  DECKEL HSK RL,0100_0100,6,Spritzteil:   Deckel HSK Aussen,5A34241,D,3"
"42,ZB DECKEL KASCHIERT RL A.F.,0110_0110,nan,Deckel HSK Aussen kaschiert,5A09A34,N,9"
"44,DECKEL INNEN HSK RL,0120_0120,nan,Spritzteil:Deckel HSK Innen,5A09A35,J,7"
"46,MD DECKEL HSK BEFLOCKT RL A.F.,0130_0130,2,Deckel HSK Innen und Aussen kaschiert, verschweisst,9870499,P,10"
"49,ZB TRAEGER I-TAFEL OBEN RL LCI,300,nan,Spritzteil,9643828,D,2"
"51,MD AIRBAGSCHUSSKANAL RL LCI,305,nan,Spritzteil,9639974,E,3"
"53,ZB TRAEGER I-TAFEL OBEN RL LCI,310,nan,OP1,MT40175,A,nan"
"55,ZB TRAEGER I-TAFEL OBEN RL LCI,315,nan,kaschiert,MT40178,A,nan"
"57,MD WARMLUFTKANAL RL LCI,320,nan,Spritzteil,5A8BBD8,H,4"
"59,MD I-TAFEL OBEN RL LCI A.F.,325,nan,OP2,MT40176,A,-"
"61,MD I-TAFEL OBEN RL LCI A.F.,330,nan,Auslieferteil,MT40177,A,-"
"63,MD TRAGSTRUKTUR BFS RL LCI,335,nan,Spritzteil,9639964,E,2"
"65,ZB TRAEGER I-TAFEL UNTEN RL LCI,340,nan,Spritzteil,9643848,C,2"
"67,ZB  I-TAFEL UNTEN RL LCI,345,nan,kaschiert,nan,nan,nan"
"69,ZB I-TAFEL UNTEN RL LCI,350,nan,verschweisst,nan,nan,nan"
"71,MD I-TAFEL UNTEN RL LCI,355,nan,Auslieferteil,MT40188,A,-"
"73,MD I-TAFEL KPL. RL LCI A.F.,390,nan,IT Oben und IT Unten zusammen auf der Messaufnahme montiert,nan,nan,nan"
"93,GEHAEUSE OT LI SP56 B,880_880,7,Geometrie + Wandstärke
Achtung: Ohne Messaufnahme / Sonderaufbau (s. Spannplan),2772492,C,nan"
"95,GEHAEUSE OT RE SP56 B,890_890,7,Geometrie + Wandstärke
Achtung: Ohne Messaufnahme / Sonderaufbau (s. Spannplan),2772493,C,nan"
"103,ZB TRAEGER I-TAFEL OBEN RL ,1070,10,OP1 Schweissung (ZB Traeger IT oben mit Airbagschusskanal) Analysemessprgramm,MT40099,nan,nan"
"163,SGW_G70_EINLEGER_IT_oben_RL,2000,nan,Airbagschwächung (SPIAS),3010834,X,X"
"164,SGW_Spias EINLEGER OBEN RL / G70LCI RL,2001,nan,Spias - Bleche,3052187,X,X"
"165,SG-WZ_SCHUSSKANAL_RL,2010,nan,Netzschwert und Netzpositionierung,3010872,X,X"
